voltage,current
2.850000000000000089e+00,-1.223040000000000078e-07
2.870000000000000107e+00,-1.152302999999999965e-07
2.890000000000000124e+00,-1.182951999999999991e-07
2.910000000000000142e+00,-1.179918000000000044e-07
2.930000000000000160e+00,-1.219651000000000126e-07
2.950000000000000178e+00,-1.013568000000000014e-07
2.970000000000000195e+00,-1.347883000000000053e-07
2.990000000000000213e+00,-1.331242000000000056e-07
3.009999999999999787e+00,-1.169871999999999982e-07
3.029999999999999805e+00,-1.409073000000000087e-07
3.049999999999999822e+00,-1.413537999999999988e-07
3.069999999999999840e+00,-1.263586999999999971e-07
3.089999999999999858e+00,-1.411792999999999995e-07
3.109999999999999876e+00,-1.814263999999999946e-07
3.129999999999999893e+00,-2.091242999999999901e-07
3.149999999999999911e+00,-2.365927000000000034e-07
3.169999999999999929e+00,-2.086729000000000130e-07
3.189999999999999947e+00,-1.995010000000000075e-07
3.209999999999999964e+00,-1.704563999999999963e-07
3.229999999999999982e+00,-1.449139999999999965e-07
3.250000000000000000e+00,-1.978018999999999946e-07
3.270000000000000018e+00,-1.846946999999999975e-07
3.290000000000000036e+00,-2.049215999999999918e-07
3.310000000000000053e+00,-1.945588000000000044e-07
3.330000000000000071e+00,-1.649514000000000010e-07
3.350000000000000089e+00,-1.707457000000000094e-07
3.370000000000000107e+00,-1.803303999999999959e-07
3.390000000000000124e+00,-1.744216000000000033e-07
3.410000000000000142e+00,-1.870722999999999989e-07
3.430000000000000160e+00,-2.076971000000000023e-07
3.450000000000000178e+00,-2.067455999999999954e-07
3.470000000000000195e+00,-2.068166999999999887e-07
3.490000000000000213e+00,-2.340832000000000033e-07
3.509999999999999787e+00,-2.268390000000000105e-07
3.529999999999999805e+00,-2.406847000000000111e-07
3.549999999999999822e+00,-1.867534999999999921e-07
3.569999999999999840e+00,-2.319021999999999919e-07
3.589999999999999858e+00,-2.156013000000000024e-07
3.609999999999999876e+00,-2.349157000000000076e-07
3.629999999999999893e+00,-1.894077999999999869e-07
3.649999999999999911e+00,-1.708303999999999969e-07
3.669999999999999929e+00,-1.308742999999999876e-07
3.689999999999999947e+00,-2.014380999999999990e-07
3.709999999999999964e+00,-1.704431999999999972e-07
3.729999999999999982e+00,-1.611666000000000080e-07
3.750000000000000000e+00,-1.609978000000000125e-07
3.770000000000000018e+00,-2.426126999999999739e-07
3.790000000000000036e+00,-2.107719000000000108e-07
3.810000000000000053e+00,-2.327416000000000120e-07
3.830000000000000071e+00,-2.476320000000000035e-07
3.850000000000000089e+00,-2.320901999999999933e-07
3.870000000000000107e+00,-2.190387000000000038e-07
3.890000000000000124e+00,-2.747729999999999949e-07
3.910000000000000142e+00,-2.135998999999999882e-07
3.930000000000000160e+00,-2.603990999999999934e-07
3.950000000000000178e+00,-2.265412999999999932e-07
3.970000000000000195e+00,-2.550454999999999792e-07
3.990000000000000213e+00,-2.544966000000000106e-07
4.009999999999999787e+00,-2.610316999999999749e-07
4.030000000000000249e+00,-2.650420999999999907e-07
4.049999999999999822e+00,-2.594432000000000133e-07
4.070000000000000284e+00,-2.748705999999999785e-07
4.089999999999999858e+00,-2.770014999999999939e-07
4.110000000000000320e+00,-3.077964000000000072e-07
4.129999999999999893e+00,-3.036140000000000081e-07
4.150000000000000355e+00,-2.946253999999999748e-07
4.169999999999999929e+00,-3.026363999999999795e-07
4.190000000000000391e+00,-2.878517999999999915e-07
4.209999999999999964e+00,-2.473396000000000213e-07
4.230000000000000426e+00,-2.783734000000000222e-07
4.250000000000000000e+00,-3.105415000000000150e-07
4.269999999999999574e+00,-3.234562999999999845e-07
4.290000000000000036e+00,-3.239020999999999765e-07
4.309999999999999609e+00,-3.277940999999999957e-07
4.330000000000000071e+00,-2.666846000000000136e-07
4.349999999999999645e+00,-2.927187999999999781e-07
4.370000000000000107e+00,-3.088502000000000004e-07
